what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1557946217920
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1557946223875
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1557946225782
activated,view,org.eclipse.ui.views,3.4.0.I20090525-2000,"org.eclipse.ui.views.PropertySheet",1557946227890
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1557946229610
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1557946232964
activated,editor,utn.frsf.cidisi.idemia.diagram,1.0.0.201011251812,"utn.frsf.cidisi.idemia.diagram.part.IdemiaDiagramEditorID",1557946234327
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1557946247809
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1557946252441
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1557946297059
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1557946301797
activated,view,org.eclipse.ui.views,3.4.0.I20090525-2000,"org.eclipse.ui.views.PropertySheet",1557946305906
activated,editor,utn.frsf.cidisi.idemia.diagram,1.0.0.201011251812,"utn.frsf.cidisi.idemia.diagram.part.IdemiaDiagramEditorID",1557946312766
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1557946325909
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1557946336380
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1557946352318
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1557946358458
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1557946399698
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1557946405096
activated,view,org.eclipse.ui.views,3.4.0.I20090525-2000,"org.eclipse.ui.views.PropertySheet",1557946432899
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1557946440606
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1557946442304
activated,editor,utn.frsf.cidisi.idemia.diagram,1.0.0.201011251812,"utn.frsf.cidisi.idemia.diagram.part.IdemiaDiagramEditorID",1557946444391
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1557946458909
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1557946488738
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1557946503967
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1557946711867
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1557946856573
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1557946857970
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1557946858912
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1557946859596
activated,view,org.eclipse.ui.views,3.4.0.I20090525-2000,"org.eclipse.ui.views.PropertySheet",1557948150868
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1557948154043
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1557948155460
activated,editor,utn.frsf.cidisi.idemia.diagram,1.0.0.201011251812,"utn.frsf.cidisi.idemia.diagram.part.IdemiaDiagramEditorID",1557948157448
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1557948901009
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1557948903081
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1557948950288
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1557948951064
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1557949704253
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1557949705993
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1557949949627
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1557950147744
started,bundle,org.eclipse.pde.core,3.5.0.v20090602,"org.eclipse.pde.core",1557950153183
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1557950155424
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1557950160098
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1557950218937
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1557950219182
opened,editor,utn.frsf.cidisi.idemia.diagram,1.0.0.201011251812,"utn.frsf.cidisi.idemia.diagram.part.IdemiaDiagramEditorID",1557950225277
activated,editor,utn.frsf.cidisi.idemia.diagram,1.0.0.201011251812,"utn.frsf.cidisi.idemia.diagram.part.IdemiaDiagramEditorID",1557950225410
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1557950283565
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1557950290884
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1557950304186
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1557950749413
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1557951087616
started,bundle,utn.frsf.cidisi.idemia.idemia2faia,1.0.0.201011251812,"utn.frsf.cidisi.idemia.idemia2faia",1557951105189
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1557951105470
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1557951108604
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1557951123099
opened,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1557951123121
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1557951123308
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1557951123591
activated,editor,utn.frsf.cidisi.idemia.diagram,1.0.0.201011251812,"utn.frsf.cidisi.idemia.diagram.part.IdemiaDiagramEditorID",1557951130125
closed,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1557951130179
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1557951132506
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.refresh",1557951136666
started,bundle,org.eclipse.emf.mint,0.8.0.v200906161513,"org.eclipse.emf.mint",1557951139506
started,bundle,org.eclipse.emf.mint.ui,0.8.0.v200906161513,"org.eclipse.emf.mint.ui",1557951139512
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1557951145469
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1557951145938
started,bundle,org.eclipse.jdt.junit,3.5.0.v20090526-2000,"org.eclipse.jdt.junit",1557951146326
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1557951204615
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1557951205597
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1557951206122
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1557951224174
started,bundle,org.eclipse.mylyn.java.tasks,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.java.tasks",1557951229380
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1557951282354
